Materials,Piezoelectric_Modulus,Crystal_Symmetry,mp_id
GaBN2,0.739661977,tetragonal,mp-1007823
BC2N,0.65775,tetragonal,mp-1008523
B2AsP,0.054517933,tetragonal,mp-1008528
AlGaN2,0.480111362,tetragonal,mp-1008556
NdBiPd,0.437876667,cubic,mp-1008858
BeSnAs2,0.46825,tetragonal,mp-1009084
BeSiP2,0.141305,tetragonal,mp-1009085
BeSiAs2,0.131505,tetragonal,mp-1009087
BeGeAs2,0.10722,tetragonal,mp-1009088
BaSiC,0.455782301,tetragonal,mp-1009828
BeGeP2,0.1178,tetragonal,mp-1013527
MgSiAs2,0.14469,tetragonal,mp-1016197
Al3GaN4,0.40219,cubic,mp-1019378
AlB3N4,0.46892,cubic,mp-1019379
Al3BN4,0.15565,cubic,mp-1019380
AlGa3N4,0.23519,cubic,mp-1019508
B2S2O9,0.237062597,monoclinic,mp-1019509
BeGeN2,1.240779263,orthorhombic,mp-1019550
Ca2B2O5,0.16603,orthorhombic,mp-1019560
GaB3N4,0.78069,cubic,mp-1019740
Ga3BN4,0.11691,cubic,mp-1019743
Mn(AlTe2)2,0.05759,tetragonal,mp-1025315
Cd(AgI2)2,0.44492,tetragonal,mp-1025377
Li7BiN4,0.15341,cubic,mp-1029517
BaGe7N10,1.550821427,monoclinic,mp-1029679
CsC2N3,0.008615135,trigonal,mp-1029718
BaLiP,0.547548142,hexagonal,mp-10615
BaLiAs,0.496954638,hexagonal,mp-10616
AlPS4,0.06057,orthorhombic,mp-1071955
LiAsSe2,1.465844053,monoclinic,mp-1078724
Ba2CdAs2,0.582351563,orthorhombic,mp-1079666
ScAgS2,0.629901983,trigonal,mp-1094066
Ca2CdAs2,0.874908719,orthorhombic,mp-1095180
CaB4O7,1.670003161,orthorhombic,mp-11000
BiRhSe,0.17413,cubic,mp-1101765
AlCBr4,0.27989,tetragonal,mp-1102536
BiIrSe,0.15768,cubic,mp-1103228
Cs4A6S5,0.236418918,trigonal,mp-1104686
LiAlS2,0.97177665,orthorhombic,mp-1106183
BPO4,0.153004208,trigonal,mp-11653
BAsO4,0.211808919,trigonal,mp-11654
Li4CO4,0.551637446,orthorhombic,mp-1180553
YAgSe2,0.19897,orthorhombic,mp-1188559
BeCN2,0.493098497,orthorhombic,mp-1189451
La3Sb4Au3,0.31933,cubic,mp-1190030
Zn(BH4)2,0.26224,tetragonal,mp-1191586
K3AsS3,0.04751,cubic,mp-1193111
HgB4O7,2.095161105,orthorhombic,mp-12022
SiPAu,0.395149802,trigonal,mp-1207095
GaCBr4,0.2763,tetragonal,mp-1212660
Ca3AsI3,0,cubic,mp-1214087
Zn3PBr3,0.673499624,monoclinic,mp-1215629
RbBH4,0.05996,cubic,mp-1219553
BiTeIr,0.10234,cubic,mp-1227372
Ba4Bi2O,0.812326641,tetragonal,mp-1228030
AsRhSe,0.1142,cubic,mp-1228724
AsRhS,0.10663,cubic,mp-1228745
AlReSi,2.483052203,tetragonal,mp-1228809
AsIrSe,0.11778,cubic,mp-1228810
AsIrS,0.11016,cubic,mp-1228823
Ag3PO4,1.224157632,trigonal,mp-1229128
LiBF4,0.08890335,trigonal,mp-12403
Ag3PS4,0.623903844,orthorhombic,mp-12459
ErAgTe2,0.66249,tetragonal,mp-12902
YAgTe2,0.67857,tetragonal,mp-12903
HoAgTe2,0.68695,tetragonal,mp-12904
CBS2,0.0619,tetragonal,mp-12954
HoAgSe2,0.1647,orthorhombic,mp-12955
SnB4O7,1.36381,orthorhombic,mp-13252
SmSnAu,0.44718,cubic,mp-13305
HoGeAu,0.5782,cubic,mp-13308
Cd(BO2)2,0.769631307,hexagonal,mp-13335
Y3Sb4Au3,0.876959944,cubic,mp-13654
Al4CO4,0.678970545,orthorhombic,mp-13703
BaGeO3,0.17409,orthorhombic,mp-13863
Ag2PSe3,0.17376,orthorhombic,mp-13956
Ba4SiAs4,0.08735,cubic,mp-14001
AlAgSe2,0.236835,tetragonal,mp-14091
AlAgTe2,0.084225,tetragonal,mp-14092
LiBO2,1.11153,tetragonal,mp-14232
AsPO5,0.08661,orthorhombic,mp-14367
SbAsO5,0.08264,orthorhombic,mp-14368
BaMgF4,1.86949,orthorhombic,mp-14568
KAsSe2,0.665263316,monoclinic,mp-14659
BaGaH5,0.244182464,orthorhombic,mp-1540000
Mn2As2O7,0.620404494,monoclinic,mp-1541585
Tl3AsO4,1.050721201,hexagonal,mp-15573
KZnAs,0.280092082,hexagonal,mp-15687
BeCN2,0.461515,tetragonal,mp-15703
BeSiN2,0.14142,tetragonal,mp-15704
Li2AgSb,0.03671,cubic,mp-16238
CoAsS,0.12321,cubic,mp-16363
Ca5Al6O14,0.218118916,orthorhombic,mp-17694
Ag3Ge5P6,0.107814593,cubic,mp-17862
Ba2Ge2Te5,0.280354144,orthorhombic,mp-17885
CsAgSe4,0.08643,orthorhombic,mp-18105
HoAgS2,0.019012856,tetragonal,mp-18262
K7NbAs4,0.243042255,orthorhombic,mp-18361
Rb7NbAs4,0.156948014,orthorhombic,mp-18440
K3AsSe3,0.023263333,cubic,mp-18594
BaV2O6,0.21175,orthorhombic,mp-18929
BaCoO2,1.504327973,trigonal,mp-19086
Ba(FeO2)2,0.827115551,orthorhombic,mp-19154
BaNiO3,17.82595859,hexagonal,mp-19241
BaMnO3,1.080231832,hexagonal,mp-19267
Co4B6O13,0.13932,cubic,mp-19343
VAg3O4,1.1953,tetragonal,mp-19412
InAgS2,0.28136,tetragonal,mp-19833
Ba2In2O5,0.67630633,orthorhombic,mp-20546
InAgSe2,0.20373,tetragonal,mp-20554
InAgS2,0.449711162,orthorhombic,mp-21459
Al2PbO4,0.93636,orthorhombic,mp-21892
InAgTe2,0.0516,tetragonal,mp-22386
FeBiO3,3.625148308,trigonal,mp-22949
KBrO3,0.748250286,trigonal,mp-22958
BiTeI,0.376339893,trigonal,mp-22965
C(ClF)2,0.069925574,orthorhombic,mp-22966
AgClO4,0.26678,tetragonal,mp-22993
Ag3SI,0.312888336,trigonal,mp-22995
Ba4Cl6O,0.234891394,hexagonal,mp-23063
Bi2WO6,5.697979375,orthorhombic,mp-23329
NaBrO3,0.0055,cubic,mp-23339
Bi(BO2)3,1.162282514,monoclinic,mp-23349
Ge(Bi3O5)4,0.980357216,cubic,mp-23352
GaSeBr7,0.772074932,monoclinic,mp-23376
Ti3(BiO3)4,6.080634777,orthorhombic,mp-23427
GeBi2O5,3.868479151,orthorhombic,mp-23446
Ag2HgI4,0.166158448,tetragonal,mp-23485
Si(Bi3O5)4,1.148796158,cubic,mp-23492
Ti(Bi3O5)4,0.984251321,cubic,mp-23494
FeBiO3,4.372091392,trigonal,mp-23501
K2ZnBr4,0.019185925,monoclinic,mp-23535
Ag2BiO3,1.399796329,orthorhombic,mp-23558
H2CO,0.200894602,trigonal,mp-23683
BeAlH5,0.096895503,monoclinic,mp-23719
AlHO2,2.440293023,orthorhombic,mp-23807
Sr7(H6Br)2,0.18089636,hexagonal,mp-23828
BaH4O3,0.269504832,orthorhombic,mp-23904
MnBO3,0.405698919,hexagonal,mp-25296
CsBe2F5,1.41E-22,cubic,mp-27192
As2SO6,0.10818,orthorhombic,mp-27230
CsCBr3,0.225937258,orthorhombic,mp-27336
Ba(PO3)2,0.12338,orthorhombic,mp-27457
AlPS4,0.00607,orthorhombic,mp-27462
K2AgBi,0,orthorhombic,mp-27549
Be4TeO7,0.06303,cubic,mp-27608
BPS4,0.02046,orthorhombic,mp-27724
KAlCl4,0.191475323,monoclinic,mp-27755
SrBe3O4,0.498312271,hexagonal,mp-27791
Ba(GeP)2,0.18104439,tetragonal,mp-27809
Ba(GeAs)2,0.078197301,tetragonal,mp-27810
Hg3(TeBr)2,0.52517,cubic,mp-27853
Ba(NO2)2,0.04749,orthorhombic,mp-27897
BaHgS2,0.461898616,orthorhombic,mp-28007
AlCCl4,0.05847,tetragonal,mp-28020
SBr2O,0.833881093,orthorhombic,mp-28407
Li3AsS3,0.324586328,orthorhombic,mp-28471
CClF3,0.36585,orthorhombic,mp-28473
Ba(ClO3)2,0.3171675,orthorhombic,mp-28512
Ba(BrO3)2,0.48822,orthorhombic,mp-28514
RbGeBr3,0.457078655,orthorhombic,mp-28558
NaInBr4,0.06348,orthorhombic,mp-28569
CsB3H8,0,orthorhombic,mp-28582
Ba(AuF4)2,0.304393464,tetragonal,mp-28719
RbBrO3,0.634691038,trigonal,mp-28872
CsBrO3,0.335121114,trigonal,mp-28873
ScSnAu,0.34495,cubic,mp-2894
BiTeCl,0.265361897,hexagonal,mp-28944
K3BiSe3,0.07601,cubic,mp-28980
Li10BrN3,0.072397126,hexagonal,mp-28989
P3BrCl14,0.430580109,tetragonal,mp-29033
Nb3SBr7,0.162552986,trigonal,mp-29057
Ba5(SiN3)2,0.49657,orthorhombic,mp-29060
Ag2TeS3,1.123033618,monoclinic,mp-29163
Rb3BiSe3,0.0643,cubic,mp-29168
AuCN,0.864184627,hexagonal,mp-29196
BaPt2S3,0.008445,tetragonal,mp-29289
RbVBr3,0.496928771,hexagonal,mp-29314
Li5BiO5,1.400739816,monoclinic,mp-29365
K3BiTe3,0.04164,cubic,mp-29379
Cs3BiO3,0.12774,cubic,mp-29505
BrNO3,0.35005,orthorhombic,mp-29526
CAsSe2,1.404329102,trigonal,mp-29643
BaSi7N10,0.420517495,monoclinic,mp-29703
RbB3O5,0.34343,orthorhombic,mp-29756
Ho(AlCl4)3,0.059397614,trigonal,mp-29796
TlBrO3,0.823079564,trigonal,mp-29798
Ag2HgO2,0.03553,tetragonal,mp-29816
Ca3(AlN2)2,0.04294,orthorhombic,mp-29820
ZnCN2,0.22512,tetragonal,mp-29826
Ba4I6O,0.171190986,hexagonal,mp-29909
Pb7(BrF6)2,14.4418873,hexagonal,mp-29927
CIN,1.271246712,trigonal,mp-30068
Ba(BS2)2,0.349414068,monoclinic,mp-30126
BC2N,0.81214,orthorhombic,mp-30148
AuBrF6,0.075750044,monoclinic,mp-30159
Si2CN4,0.422240646,orthorhombic,mp-30161
Cs3As5O9,0.334231712,trigonal,mp-30300
Al2HgSe4,0.219966129,tetragonal,mp-3038
HoSnAu,0.286091927,cubic,mp-30390
DyNiBi,0.198603333,cubic,mp-30452
ScNiBi,0.015866667,cubic,mp-30459
YNiBi,0.307813333,cubic,mp-30460
CdSiAs2,0.18113,tetragonal,mp-3078
Ba3(BN2)2,0.26225,orthorhombic,mp-30905
Ag3PSe4,0.455622357,orthorhombic,mp-30908
CsAs4F13,1.002718479,tetragonal,mp-30927
BaNaBi,0.126692322,hexagonal,mp-31235
C2O3F2,0.02384,orthorhombic,mp-31306
Al4(B2O5)3,0.226707688,trigonal,mp-31408
ZrCoBi,0.68528,cubic,mp-31451
Al2CdSe4,0.151327506,tetragonal,mp-3159
LiAlSi,0.49018,cubic,mp-3161
BAsO4,0.627677754,tetragonal,mp-3277
Al5BO9,0.147227432,orthorhombic,mp-3281
Tb5AgS8,0.392441929,tetragonal,mp-33449
Ba(PrSe2)2,0.363675,tetragonal,mp-33606
BiTeBr,0.384553656,trigonal,mp-33723
La5AgSe8,0.294498773,tetragonal,mp-33775
Ba(InTe2)2,0.122145,tetragonal,mp-33985
Ba8P5Br,0.371692637,tetragonal,mp-34034
LiAlO2,0.04041,tetragonal,mp-3427
MgAl2O4,0.509843747,trigonal,mp-34330
Ba(NdS2)2,0.48474,tetragonal,mp-34459
Pr5AgS8,0.762931344,tetragonal,mp-34486
KSnAs,0.426877947,hexagonal,mp-3481
Ag3AuS2,0.493459241,triclinic,mp-34982
KCN,0.087232489,orthorhombic,mp-35035
BH6N,0.420578756,orthorhombic,mp-35082
Pr5AgSe8,0.253962119,tetragonal,mp-35264
Al5CS8,0.05886,cubic,mp-35267
CCN,0.557129592,trigonal,mp-35308
CrAgSe2,0.291618409,trigonal,mp-3532
Al(CN)3,0.00696,tetragonal,mp-35327
TbAgTe2,0.7379,tetragonal,mp-3551
Be(CN)2,0.036315136,tetragonal,mp-35687
Zn(CN)2,0.058534942,tetragonal,mp-35751
BiPbF5,3.488803017,triclinic,mp-35795
BPO4,0.399440006,tetragonal,mp-3589
ZnSiAs2,0.18673,tetragonal,mp-3595
Ba(NdSe2)2,0.38346,tetragonal,mp-36007
H4BrN,0.13006,cubic,mp-36248
BrO2F,0.383990105,monoclinic,mp-36262
AcOF,0.845496667,cubic,mp-36526
Sr(AsS2)2,3.175637019,triclinic,mp-36577
SrAl2O4,0.67961,hexagonal,mp-36775
Mg(CN)2,0.017229475,tetragonal,mp-36940
Sr(AlTe2)2,0.063875,tetragonal,mp-37091
Al5CSe8,0.06858,cubic,mp-37405
Nd5AgS8,0.530745653,tetragonal,mp-37449
Sm5AgS8,0.417402088,tetragonal,mp-37923
AlPO4,0.09865,cubic,mp-37990
Ba(GaTe2)2,0.10887,tetragonal,mp-38117
Ba(AlTe2)2,0.079297177,tetragonal,mp-38394
BaGe4O9,0.187705916,trigonal,mp-3848
Li7BiO6,0.353833867,triclinic,mp-38487
BaZnF4,1.51717,orthorhombic,mp-3881
GaAsO4,0.646596832,trigonal,mp-3996
Ag5SbS4,0.271125324,orthorhombic,mp-4004
ZnGeAs2,0.21275,tetragonal,mp-4008
DyAgTe2,0.71332,tetragonal,mp-4024
ErAgSe2,0.12079,orthorhombic,mp-4044
AlPO4,2.11313,orthorhombic,mp-4051
CrAgS2,0.892473614,trigonal,mp-4182
BaZnO2,0.987933097,trigonal,mp-4236
Hg(CO2)2,0,monoclinic,mp-4249
BaGa4S7,0.58824851,orthorhombic,mp-4309
BaCO3,0.619635861,trigonal,mp-4559
LiAlTe2,0.06602,tetragonal,mp-4586
CoAsS,0.189825316,orthorhombic,mp-4627
BNF8,0.32619,tetragonal,mp-4674
Li2B4O7,0.788522918,tetragonal,mp-4779
Zn4B6O13,0.15839,cubic,mp-4812
GaAgTe2,0.13848,tetragonal,mp-4899
AlCS2,0.13739,tetragonal,mp-4979
BaTiO3,4.540352945,trigonal,mp-5020
AlInS3,0.143556655,hexagonal,mp-504482
BeSO4,0.190933847,tetragonal,mp-5046
In5Se5Br,0.996651343,orthorhombic,mp-510346
In5S5Br,0.439861279,orthorhombic,mp-510347
K2BeF4,0,orthorhombic,mp-5185
LiAl5O8,0,cubic,mp-530399
GaAgS2,0.253555,tetragonal,mp-5342
B2PdO4,0.142845,tetragonal,mp-540900
FeTeBr7,0.102636381,triclinic,mp-540998
Te7As5I,0.70428437,monoclinic,mp-541032
BaGaF5,0.16514,orthorhombic,mp-541629
Na4CO4,2.600965842,monoclinic,mp-545541
AlPO4,0.445989061,hexagonal,mp-545974
CrBiO3,3.25025151,trigonal,mp-546027
Li4CO4,6.53956,cubic,mp-546202
CaCO3,1.875117661,orthorhombic,mp-548403
SrAl2O4,0.143691955,hexagonal,mp-5492
Li4CO4,3.57381135,monoclinic,mp-549207
NbBr2O,3.700729479,monoclinic,mp-550070
Li4CO4,0.777612668,monoclinic,mp-550320
BeZnO2,0.48725,tetragonal,mp-550433
Li4CO4,33.34801286,trigonal,mp-550593
Li4CO4,0.101682256,monoclinic,mp-550798
Li4CO4,0.26415,tetragonal,mp-551740
GaAgSe2,0.1884,tetragonal,mp-5518
AlBiO3,5.064935412,trigonal,mp-551918
AgNO3,0.6310826,trigonal,mp-552185
Na4CO4,1.757262926,trigonal,mp-552623
Na4CO4,50.45334798,trigonal,mp-552941
SrB4O7,1.007429864,orthorhombic,mp-5540
Al(HO)3,0.584998982,triclinic,mp-554002
MoSBr,0.203276667,cubic,mp-554769
Al(MoS2)4,0.130143583,trigonal,mp-554868
Ba4Br6O,0.219580845,hexagonal,mp-555218
Li4CO4,1.720745576,orthorhombic,mp-555256
ScBiO3,19.05054876,monoclinic,mp-555313
Li4CO4,1.263988363,orthorhombic,mp-555320
BaNiF4,1.69027,orthorhombic,mp-555321
ScBiO3,0,monoclinic,mp-555769
LiAsS2,0.587938155,monoclinic,mp-555874
Al(IO3)3,1.573204377,hexagonal,mp-555903
Li3AlF6,0.2258,orthorhombic,mp-556020
Sr4Br6O,0.186747203,hexagonal,mp-556049
BaMnF4,1.45183,orthorhombic,mp-556850
GaAgS2,0.344932637,monoclinic,mp-556916
KBiF6,0,tetragonal,mp-557724
H2CO2,0.083497744,orthorhombic,mp-558412
B2Se2O7,0.09605,orthorhombic,mp-558521
PBr3O,0,orthorhombic,mp-558645
H2C3O4,0.012165,tetragonal,mp-559232
Ta4S9Br8,0.305429651,tetragonal,mp-559724
AlPO4,0.144645,hexagonal,mp-560151
Ba12Cl5F19,0.184445269,hexagonal,mp-560641
RbB3O5,0.09927,orthorhombic,mp-561055
CaCO3,0.245091452,monoclinic,mp-561412
Ba(Si3N4)2,67.67410697,orthorhombic,mp-567771
Lu2(CN2)3,0.137166888,trigonal,mp-568116
TmNiBi,0.288043333,cubic,mp-568269
Sc(AlC)3,2.855127707,hexagonal,mp-568400
SrAlH5,0.21644,orthorhombic,mp-568450
Mg2B24C,0.700417551,tetragonal,mp-568556
LiB6C,0.331729934,orthorhombic,mp-569450
Al(BH4)3,0.02134,orthorhombic,mp-569787
HgIBr,0.168440792,orthorhombic,mp-570172
LiMgBi,0.02757,cubic,mp-570213
Ag2HgI4,0.20626,tetragonal,mp-570256
CsAsF4,0.20108533,monoclinic,mp-5707
Ag3Te2Au,1.08E-17,cubic,mp-5710
Mg(BH4)2,0.060750886,orthorhombic,mp-571156
AlPO4,0.229127767,monoclinic,mp-5724
AgNO2,0.3642,orthorhombic,mp-5770
BaTiO3,4.162563266,orthorhombic,mp-5777
AlAgS2,0.29809,tetragonal,mp-5782
CsLi3Br4,0.425439161,orthorhombic,mp-580554
Na3AsS3,0.13672,cubic,mp-5830
CaAlH5,2.27537,orthorhombic,mp-583071
AlPO4,0.349661902,hexagonal,mp-5859
LiAlGe,0.59438,cubic,mp-5920
Al2CdS4,0.225145333,tetragonal,mp-5928
BaTiO3,3.578256033,tetragonal,mp-5986
NbBr3O,0.00901,tetragonal,mp-606393
CsLi2Br3,0,orthorhombic,mp-606680
FeSeBr7,0.245327867,monoclinic,mp-607953
As(CN)3,0.427019632,monoclinic,mp-623837
YbBeF4,0,triclinic,mp-624483
AlHO2,1.47606,orthorhombic,mp-625054
AlHO2,2.233475618,triclinic,mp-625075
Al(HO)3,0.531436804,triclinic,mp-625318
H3BrO,0.381670182,trigonal,mp-625509
H3BrO,0.346768157,monoclinic,mp-625521
H7BrO3,0.592144334,monoclinic,mp-625560
H7BrO3,0.865478823,triclinic,mp-625583
H9BrO4,0.370289063,monoclinic,mp-625604
Be(HO)2,0.27114,orthorhombic,mp-625823
Be(HO)2,0.04599,orthorhombic,mp-625837
Al(HO)3,1.443861548,monoclinic,mp-626073
Al(HO)3,4.887881315,triclinic,mp-626435
Al(HO)3,1.01335629,triclinic,mp-626500
BaH4O3,0.364267234,monoclinic,mp-626720
Ag3SI,1.048218625,triclinic,mp-632480
LiB13C2,0.160890992,orthorhombic,mp-638070
CsGeBr3,0.536941851,monoclinic,mp-642739
Ba5(Ga3H)2,0.01966927,trigonal,mp-643683
BaAlH5,0.979679622,orthorhombic,mp-644097
LiBH4,0.10228537,hexagonal,mp-644223
HCN,0.757484832,tetragonal,mp-644385
YbBeF4,0.643051455,triclinic,mp-657176
Ag3SI,0.518299213,monoclinic,mp-674981
BaCO3,1.6529,orthorhombic,mp-675324
BH6N,1.425811097,triclinic,mp-675418
Pr4Ag2Se7,1.603405171,monoclinic,mp-675420
Li2MnBr4,4.260459777,orthorhombic,mp-675475
NaBiS2,10.67852159,orthorhombic,mp-675531
KBi2F7,14.0170135,triclinic,mp-675634
Al11NO15,0.251271018,triclinic,mp-675682
Ag3SI,0.708044203,monoclinic,mp-675879
LiBH4,0,triclinic,mp-675926
AgBiS2,24.84459113,monoclinic,mp-675977
Ba2PrF7,2.996870516,triclinic,mp-676002
KBF4,0.391044044,triclinic,mp-676049
YAgSe2,0.066180444,monoclinic,mp-676284
Cd3AsI3,0.248423515,monoclinic,mp-676464
Ag3SI,0.45796237,trigonal,mp-676561
Li6Br3N,0.902893287,monoclinic,mp-676650
Ag8GeTe6,2.28505431,triclinic,mp-676799
Ag8GeTe6,1.042443742,triclinic,mp-685969
MnCO3,39.82858948,monoclinic,mp-690525
RbBe2F5,0.172584648,triclinic,mp-696736
Be(HO)2,0.52054,orthorhombic,mp-697136
Ba3WO6,1.016538482,triclinic,mp-697853
LiAlSe2,0.276724427,orthorhombic,mp-7117
Ba2Na2O3,0.078365,tetragonal,mp-752395
Ba2SrI6,0,tetragonal,mp-752397
YbB4O7,1.884002289,orthorhombic,mp-752484
LiAgF2,0.159698337,monoclinic,mp-752767
HoBO3,1.717010675,orthorhombic,mp-753056
LiAgF2,0.670694113,orthorhombic,mp-753277
Li2AgF5,1.188247421,triclinic,mp-753316
DyBO3,1.664888587,orthorhombic,mp-753318
BaCa2I6,0.933952957,monoclinic,mp-753460
BaCaI4,0.143494866,orthorhombic,mp-753775
ScBiO3,4.859032686,trigonal,mp-754009
TmBiO3,5.428583803,trigonal,mp-754323
VBO4,0.101891552,tetragonal,mp-754594
CaBe3O4,0.362929626,hexagonal,mp-754739
TaAsO4,2.002565389,monoclinic,mp-754840
BaYF5,2.91440675,monoclinic,mp-754920
ErBiO3,4.997849436,trigonal,mp-754943
Y3AlO6,0.620111272,orthorhombic,mp-754979
Cd4B6O13,0.0691,cubic,mp-755260
BaNa2O2,0.583862338,orthorhombic,mp-755391
